id,review_title,review,pros,cons,rating,job_status,position,company,year
24,Solid employer,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",learned a lot from the team. enjoyable typical day. the people made the day enjoyable,some days were long,4,Former Employee,Senior Consultant,Company B,2016
25,Enjoyed my time,the office and the computer setup shaped the day,comfortable office and a short commute. a helpful office and a clean center. good computer equipment,the office equipment is old. the call center office felt dated,5,Former Employee,Network Engineer,Company A,2020
26,Solid employer,good place with real opportunity. the work environment is good and the people are great,great benefits and a good place,little to complain about. nothing serious to note,4,Current Employee,Network Engineer,Company I,2017
27,Solid employer,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",learned a lot from the team. enjoyed the daily work. enjoyable typical day,the hardest part was the pace. some days were long,4,Former Employee,Senior Consultant,Company I,2017
28,Great place to work,a great company with a good culture. good place with real opportunity,great opportunity to learn,nothing serious to note,4,Current Employee,Senior Consultant,Company G,2018
29,Okay overall,"the company cut people every year and the pay never changed. no job security, they let people go without warning",decent pay at the start. the pay arrived on time,low pay and no raise for years. low pay for the hours asked,3,Current Employee,Customer Service Representative,Company A,2017
30,Good culture,good place with real opportunity. great environment and good people to learn from,good people and a strong work environment. good benefits and a good environment,large place so things move slowly,4,Current Employee,Systems Administrator,Company I,2012
31,Stressful and underpaid,long hours answering calls for low pay,you learn the systems quickly,short break between calls,2,Current Employee,Team Lead,Company J,2016
32,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. enjoyable typical day. enjoyed the daily work,some days were long,4,Former Employee,Project Manager,Company D,2015
33,Would recommend,good place with real opportunity,great place to work. great benefits and a good place,large place so things move slowly,4,Current Employee,Technical Support Specialist,Company B,2015
34,Not what was promised,"poor management, high stress and no team support",a few good supervisors,poor management with little direction,2,Former Employee,Data Analyst,Company I,2019
35,Depends on the team,handled calls all day with a short break,you learn the systems quickly. good training when you start,short break between calls,3,Current Employee,Network Engineer,Company B,2014
36,Avoid,"management expects a lot and gives little support. poor management, high stress and no team support",a few good supervisors,upper management expects too much,1,Current Employee,Senior Consultant,Company H,2016
37,Not what was promised,"no job security, they let people go without warning",good benefits while they lasted,job security disappeared after the change,2,Current Employee,Senior Consultant,Company J,2016
38,Great place to work,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable,the hardest part was the pace. some days were long,5,Current Employee,Senior Consultant,Company D,2019
39,Poor management,"poor management, high stress and no team support",a few good supervisors. one decent team lead,management lacks the skill. bad management and high stress,1,Current Employee,Technical Support Specialist,Company D,2019
40,Would recommend,enjoyed the work and learned every day,enjoyed the daily work,some days were long,4,Current Employee,Data Analyst,Company B,2017
41,Not what was promised,management expects a lot and gives little support. the supervisor and upper management were the problem,one decent team lead. a few good supervisors,poor management with little direction. management lacks the skill,1,Former Employee,Team Lead,Company G,2017
42,Would recommend,worked in the call center office helping people on the phone,comfortable office and a short commute. good computer equipment,the call center office felt dated. the office equipment is old,5,Current Employee,Team Lead,Company J,2020
43,Solid employer,"enjoyed the work and learned every day. the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable. learned a lot from the team,the hardest part was the pace. some days were long,5,Current Employee,Customer Service Representative,Company A,2020
44,Okay overall,managed the process and the product for the customer team,good project structure. clear process and a supportive project team. clear role and steady service work,the process is slow,3,Current Employee,Senior Consultant,Company H,2018
45,Disappointing,the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time. good benefits while they lasted,no pay raise while costs climbed. constant layoffs every year,2,Current Employee,Systems Administrator,Company A,2012
46,Disappointing,"no job security, they let people go without warning. layoffs and low pay defined my time there",decent pay at the start. good benefits while they lasted. the pay arrived on time,job security is poor,2,Current Employee,Project Manager,Company D,2013
47,Enjoyed my time,good career opportunities across a strong organisation. the culture and the technology gave me a career path,career development is taken seriously. strong culture and real career opportunities. a supportive organisation,career progress can be slow,5,Former Employee,Customer Service Representative,Company K,2019
48,Great place to work,good place with real opportunity,lots of opportunity to grow. great place to work. good work environment,the busy period can stretch,5,Current Employee,Technical Support Specialist,Company H,2015
49,Good company,the culture and the technology gave me a career path,good technology and interesting clients. a supportive organisation,a large organisation moves slowly. career progress can be slow,4,Former Employee,Project Manager,Company F,2016
50,Good culture,the work environment is good and the people are great,great culture and great people. lots of opportunity to grow. great place to work,large place so things move slowly. little to complain about,5,Former Employee,Team Lead,Company B,2016
51,Great place to work,good career opportunities across a strong organisation,strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,5,Former Employee,Business Analyst,Company C,2019
52,Great place to work,the work environment is good and the people are great. great environment and good people to learn from,lots of opportunity to grow. good benefits and a good environment. great benefits and a good place,nothing serious to note. the busy period can stretch,5,Current Employee,Systems Administrator,Company G,2019
53,Enjoyed my time,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,good computer equipment. a helpful office and a clean center. comfortable office and a short commute,the office equipment is old. the call center office felt dated,5,Current Employee,Data Analyst,Company J,2020
54,Enjoyed my time,good place with real opportunity,great place to work. lots of opportunity to grow. good people and a strong work environment,little to complain about. large place so things move slowly,4,Former Employee,Senior Consultant,Company B,2019
55,Great place to work,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,enjoyable typical day. enjoyed the daily work,some days were long,5,Current Employee,Senior Consultant,Company D,2019
56,Disappointing,"poor management, high stress and no team support. the supervisor and upper management were the problem",a few good supervisors. one decent team lead,poor management with little direction. poor management and no leadership,1,Former Employee,Data Analyst,Company A,2019
57,Great place to work,the client work developed my career. the culture and the technology gave me a career path,career development is taken seriously. a supportive organisation. strong culture and real career opportunities,a large organisation moves slowly,5,Former Employee,Senior Consultant,Company C,2020
58,Not what was promised,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,decent pay at the start. good benefits while they lasted,constant layoffs every year. no pay raise while costs climbed,2,Current Employee,Business Analyst,Company B,2020
59,Poor management,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,good benefits while they lasted,low pay and no raise for years,2,Current Employee,Project Manager,Company F,2019
60,Solid employer,the work environment is good and the people are great,lots of opportunity to grow,the busy period can stretch. nothing serious to note,4,Former Employee,Team Lead,Company I,2018
61,Enjoyed my time,good career opportunities across a strong organisation,a supportive organisation,career progress can be slow,5,Current Employee,Project Manager,Company G,2017
62,Great place to work,worked in the call center office helping people on the phone,good computer equipment. a helpful office and a clean center,the office equipment is old,5,Former Employee,Data Analyst,Company C,2019
63,Solid employer,the client work developed my career,career development is taken seriously. a supportive organisation. strong culture and real career opportunities,career progress can be slow,5,Former Employee,Customer Service Representative,Company D,2014
64,Average employer,project work covering support and service delivery,good project structure. clear process and a supportive project team. clear role and steady service work,the process is slow,3,Current Employee,Senior Consultant,Company D,2019
65,Poor management,long hours answering calls for low pay. the training was good but the day is call after call,the health cover was fine,low pay for a long day of calls. short break between calls,2,Current Employee,Software Engineer,Company I,2019
66,Mixed experience,the company cut people every year and the pay never changed,good benefits while they lasted. decent pay at the start. the pay arrived on time,constant layoffs every year. no pay raise while costs climbed,3,Current Employee,Network Engineer,Company D,2018
67,Not what was promised,layoffs and low pay defined my time there,good benefits while they lasted. decent pay at the start. the pay arrived on time,layoffs come round every year. low pay for the hours asked,1,Current Employee,Software Engineer,Company E,2017
68,Enjoyed my time,great environment and good people to learn from. good place with real opportunity,good people and a strong work environment. great place to work,little to complain about,5,Current Employee,Project Manager,Company K,2019
69,Would recommend,a typical day was enjoyable and i learned something new,enjoyable typical day,some days were long,4,Current Employee,Senior Consultant,Company G,2014
70,Solid employer,supported the project team and delivered the service,clear role and steady service work,too much process for a small project. the process is slow,4,Current Employee,Senior Consultant,Company J,2020
71,Good company,great environment and good people to learn from,good benefits and a good environment. great opportunity to learn,nothing serious to note. little to complain about,5,Current Employee,Team Lead,Company G,2018
72,Solid employer,great environment and good people to learn from,lots of opportunity to grow. great benefits and a good place. good people and a strong work environment,the busy period can stretch. large place so things move slowly,5,Former Employee,Systems Administrator,Company I,2019
73,Great place to work,worked in the call center office helping people on the phone,comfortable office and a short commute,the office equipment is old. the call center office felt dated,5,Current Employee,Technical Support Specialist,Company B,2020
74,Okay overall,handled calls all day with a short break,you learn the systems quickly. good training when you start. the health cover was fine,low pay for a long day of calls,3,Former Employee,Data Analyst,Company C,2015
75,Good company,good place with real opportunity. a great company with a good culture,good people and a strong work environment. good benefits and a good environment. great place to work,the busy period can stretch. large place so things move slowly,4,Former Employee,Project Manager,Company E,2015
76,Poor management,management expects a lot and gives little support,one decent team lead. a few good supervisors,poor management with little direction,2,Former Employee,Senior Consultant,Company B,2020
77,Good company,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,learned a lot from the team. enjoyed the daily work. the people made the day enjoyable,the hardest part was the pace,4,Current Employee,Technical Support Specialist,Company G,2016
78,Okay overall,the training was good but the day is call after call. handled calls all day with a short break,good training when you start. the health cover was fine. you learn the systems quickly,long hours on call with a short break. short break between calls,3,Former Employee,Customer Service Representative,Company E,2019
79,Avoid,management expects a lot and gives little support,one decent team lead,poor management with little direction,1,Former Employee,Senior Consultant,Company A,2019
80,Enjoyed my time,the culture and the technology gave me a career path. the client work developed my career,career development is taken seriously. a supportive organisation. good technology and interesting clients,career progress can be slow,4,Current Employee,Senior Consultant,Company J,2017
81,Great place to work,a great company with a good culture. good place with real opportunity,lots of opportunity to grow,large place so things move slowly,4,Former Employee,Project Manager,Company B,2013
82,Enjoyed my time,the culture and the technology gave me a career path,strong culture and real career opportunities. good technology and interesting clients,a large organisation moves slowly. career progress can be slow,5,Current Employee,Network Engineer,Company C,2019
83,Mixed experience,the training was good but the day is call after call,the health cover was fine. good training when you start,short break between calls,3,Current Employee,Team Lead,Company K,2020
84,Avoid,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,decent pay at the start. good benefits while they lasted,constant layoffs every year. low pay and no raise for years,1,Current Employee,Systems Administrator,Company E,2018
85,Good company,great environment and good people to learn from. good place with real opportunity,good people and a strong work environment. lots of opportunity to grow. good work environment,large place so things move slowly,5,Current Employee,Project Manager,Company K,2014
86,Great place to work,a great company with a good culture. great environment and good people to learn from,great place to work,large place so things move slowly. the busy period can stretch,4,Current Employee,Data Analyst,Company B,2018
87,Solid employer,good place with real opportunity,great place to work,nothing serious to note. little to complain about,4,Current Employee,Network Engineer,Company A,2015
88,Enjoyed my time,a great company with a good culture. great environment and good people to learn from,great opportunity to learn. lots of opportunity to grow,little to complain about,5,Former Employee,Data Analyst,Company G,2019
89,Depends on the team,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,decent pay at the start. good benefits while they lasted. the pay arrived on time,low pay and no raise for years,3,Current Employee,Data Analyst,Company A,2018
90,Solid employer,"the most enjoyable part was the people, the hardest part was leaving. enjoyed the work and learned every day",the people made the day enjoyable. enjoyable typical day. enjoyed the daily work,some days were long,4,Former Employee,Data Analyst,Company K,2016
91,Would recommend,enjoyed the work and learned every day,the people made the day enjoyable. enjoyed the daily work,some days were long. the hardest part was the pace,4,Current Employee,Senior Consultant,Company E,2018
92,Okay overall,layoffs and low pay defined my time there,good benefits while they lasted. decent pay at the start,low pay for the hours asked,3,Former Employee,Customer Service Representative,Company C,2019
93,Good culture,the culture and the technology gave me a career path,a supportive organisation,career progress can be slow,4,Former Employee,Senior Consultant,Company I,2014
94,Good and bad,layoffs and low pay defined my time there,the pay arrived on time. decent pay at the start,no pay raise while costs climbed. constant layoffs every year,3,Former Employee,Systems Administrator,Company F,2020
95,Poor management,"no job security, they let people go without warning. the company cut people every year and the pay never changed",good benefits while they lasted. the pay arrived on time,no pay raise while costs climbed. constant layoffs every year,2,Current Employee,Systems Administrator,Company G,2012
96,Disappointing,layoffs and low pay defined my time there,decent pay at the start,job security disappeared after the change. job security is poor,2,Former Employee,Network Engineer,Company H,2019
97,Would recommend,the culture and the technology gave me a career path. the client work developed my career,career development is taken seriously. good technology and interesting clients. a supportive organisation,career progress can be slow,4,Current Employee,Business Analyst,Company I,2020
98,Not what was promised,"the company cut people every year and the pay never changed. no job security, they let people go without warning",the pay arrived on time. decent pay at the start. good benefits while they lasted,no pay raise while costs climbed. constant layoffs every year,2,Current Employee,Senior Consultant,Company F,2015
99,Disappointing,the company cut people every year and the pay never changed,decent pay at the start,constant layoffs every year,1,Former Employee,Systems Administrator,Company E,2015
100,Good culture,good career opportunities across a strong organisation. the client work developed my career,a supportive organisation. strong culture and real career opportunities. career development is taken seriously,a large organisation moves slowly. career progress can be slow,5,Current Employee,Project Manager,Company G,2018
101,Enjoyed my time,the culture and the technology gave me a career path,strong culture and real career opportunities,career progress can be slow. a large organisation moves slowly,5,Current Employee,Software Engineer,Company D,2015
102,Enjoyed my time,enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team,the hardest part was the pace,5,Former Employee,Network Engineer,Company A,2018
103,Good company,good career opportunities across a strong organisation,a supportive organisation,a large organisation moves slowly,5,Former Employee,Systems Administrator,Company I,2015
104,Would recommend,great environment and good people to learn from. the work environment is good and the people are great,good work environment,large place so things move slowly,5,Former Employee,Software Engineer,Company G,2020
105,Okay overall,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,the pay arrived on time,job security is poor. job security disappeared after the change,3,Former Employee,Data Analyst,Company E,2017
106,Avoid,"the company cut people every year and the pay never changed. no job security, they let people go without warning",decent pay at the start,layoffs come round every year,2,Current Employee,Team Lead,Company G,2018
107,Would recommend,"the most enjoyable part was the people, the hardest part was leaving. a typical day was enjoyable and i learned something new",the people made the day enjoyable,the hardest part was the pace. some days were long,4,Former Employee,Network Engineer,Company A,2015
108,Good company,a great company with a good culture,good work environment. great place to work. good people and a strong work environment,little to complain about. large place so things move slowly,4,Current Employee,Team Lead,Company F,2015
109,Not what was promised,"no job security, they let people go without warning. the company cut people every year and the pay never changed",the pay arrived on time,job security is poor,1,Current Employee,Data Analyst,Company H,2020
110,Good culture,supported the project team and delivered the service. managed the process and the product for the customer team,good project structure,the process is slow. too much process for a small project,4,Current Employee,Software Engineer,Company B,2016
111,Good culture,provided customer support on the service product. project work covering support and service delivery,good project structure. clear role and steady service work. clear process and a supportive project team,too much process for a small project. the process is slow,4,Former Employee,Team Lead,Company G,2013
112,Not what was promised,"the company cut people every year and the pay never changed. no job security, they let people go without warning",good benefits while they lasted. the pay arrived on time. decent pay at the start,low pay and no raise for years,2,Former Employee,Systems Administrator,Company G,2016
113,Great place to work,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,the people made the day enjoyable. learned a lot from the team,the hardest part was the pace. some days were long,5,Current Employee,Project Manager,Company A,2015
114,Enjoyed my time,the work environment is good and the people are great,great place to work. good work environment,the busy period can stretch. nothing serious to note,4,Current Employee,Software Engineer,Company E,2020
115,Would recommend,the client work developed my career,good technology and interesting clients. career development is taken seriously,career progress can be slow. a large organisation moves slowly,5,Former Employee,Project Manager,Company B,2014
116,Good company,"a typical day was enjoyable and i learned something new. the most enjoyable part was the people, the hardest part was leaving",learned a lot from the team. enjoyed the daily work. the people made the day enjoyable,the hardest part was the pace. some days were long,5,Current Employee,Software Engineer,Company H,2020
117,Great place to work,great environment and good people to learn from,good people and a strong work environment. great place to work. great benefits and a good place,nothing serious to note. little to complain about,5,Current Employee,Systems Administrator,Company G,2015
118,Solid employer,the culture and the technology gave me a career path,career development is taken seriously. good technology and interesting clients. strong culture and real career opportunities,career progress can be slow. a large organisation moves slowly,5,Former Employee,Data Analyst,Company A,2016
119,Good culture,great environment and good people to learn from,great place to work. good work environment,little to complain about. large place so things move slowly,4,Former Employee,Network Engineer,Company A,2020
120,Stressful and underpaid,handled calls all day with a short break. the training was good but the day is call after call,the health cover was fine. good training when you start,long hour shifts with a short lunch. low pay for a long day of calls,2,Current Employee,Senior Consultant,Company E,2020
121,Avoid,long hours answering calls for low pay. the training was good but the day is call after call,you learn the systems quickly. the health cover was fine. good training when you start,low pay for a long day of calls. short break between calls,2,Current Employee,Business Analyst,Company B,2012
122,Depends on the team,handled calls all day with a short break,you learn the systems quickly,low pay for a long day of calls,3,Current Employee,Systems Administrator,Company C,2018
123,Disappointing,the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time,constant layoffs every year. job security is poor,2,Current Employee,Team Lead,Company D,2014
124,Great place to work,the work environment is good and the people are great. good place with real opportunity,great benefits and a good place,the busy period can stretch. nothing serious to note,4,Former Employee,Software Engineer,Company K,2016
125,Stressful and underpaid,the company cut people every year and the pay never changed,decent pay at the start. good benefits while they lasted. the pay arrived on time,layoffs come round every year,2,Former Employee,Data Analyst,Company F,2020
126,Mixed experience,long hours answering calls for low pay,you learn the systems quickly. the health cover was fine. good training when you start,long hour shifts with a short lunch. short break between calls,3,Former Employee,Team Lead,Company D,2017
127,Disappointing,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,the pay arrived on time. good benefits while they lasted. decent pay at the start,job security is poor. job security disappeared after the change,1,Current Employee,Data Analyst,Company F,2017
128,Good company,a great company with a good culture. the work environment is good and the people are great,great opportunity to learn,little to complain about,5,Current Employee,Team Lead,Company E,2020
129,Average employer,the office and the computer setup shaped the day. worked in the call center office helping people on the phone,a helpful office and a clean center,the office equipment is old,3,Current Employee,Systems Administrator,Company H,2014
130,Disappointing,the company cut people every year and the pay never changed,the pay arrived on time. decent pay at the start,job security disappeared after the change,2,Former Employee,Technical Support Specialist,Company C,2013
131,Good company,a great company with a good culture. good place with real opportunity,good work environment,nothing serious to note,4,Former Employee,Network Engineer,Company B,2020
132,Good culture,the work environment is good and the people are great,great place to work. good work environment,large place so things move slowly. nothing serious to note,5,Former Employee,Business Analyst,Company K,2014
133,Good culture,a typical day was enjoyable and i learned something new. enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team,the hardest part was the pace. some days were long,4,Current Employee,Systems Administrator,Company A,2014
134,Enjoyed my time,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,a helpful office and a clean center,the office equipment is old. the call center office felt dated,5,Former Employee,Data Analyst,Company G,2014
135,Avoid,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,the pay arrived on time. good benefits while they lasted. decent pay at the start,job security disappeared after the change. constant layoffs every year,2,Former Employee,Network Engineer,Company D,2017
136,Depends on the team,long hours answering calls for low pay. handled calls all day with a short break,the health cover was fine. you learn the systems quickly,long hour shifts with a short lunch. low pay for a long day of calls,3,Current Employee,Business Analyst,Company E,2014
137,Disappointing,"management expects a lot and gives little support. poor management, high stress and no team support",one decent team lead. a few good supervisors,poor management and no leadership. poor management with little direction,1,Current Employee,Software Engineer,Company I,2018
138,Enjoyed my time,"the most enjoyable part was the people, the hardest part was leaving",the people made the day enjoyable,some days were long,5,Current Employee,Network Engineer,Company B,2020
139,Good and bad,the company cut people every year and the pay never changed,good benefits while they lasted,job security disappeared after the change. low pay and no raise for years,3,Former Employee,Team Lead,Company B,2017
140,Depends on the team,the office and the computer setup shaped the day,comfortable office and a short commute. good computer equipment,the call center office felt dated,3,Former Employee,Customer Service Representative,Company C,2020
141,Enjoyed my time,worked in the call center office helping people on the phone. the office and the computer setup shaped the day,comfortable office and a short commute. a helpful office and a clean center,the office equipment is old. the call center office felt dated,5,Former Employee,Software Engineer,Company F,2018
142,Solid employer,the culture and the technology gave me a career path,good technology and interesting clients. strong culture and real career opportunities. career development is taken seriously,a large organisation moves slowly. career progress can be slow,4,Current Employee,Systems Administrator,Company D,2019
143,Would recommend,enjoyed the work and learned every day,enjoyed the daily work,some days were long,5,Current Employee,Team Lead,Company C,2012
144,Solid employer,the work environment is good and the people are great,good benefits and a good environment,little to complain about,5,Current Employee,Senior Consultant,Company C,2017
145,Stressful and underpaid,layoffs and low pay defined my time there,good benefits while they lasted. the pay arrived on time,job security is poor,1,Former Employee,Team Lead,Company B,2016
146,Good culture,enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team. the people made the day enjoyable,the hardest part was the pace. some days were long,5,Former Employee,Technical Support Specialist,Company B,2016
147,Enjoyed my time,the culture and the technology gave me a career path. the client work developed my career,strong culture and real career opportunities. a supportive organisation,a large organisation moves slowly. career progress can be slow,5,Former Employee,Systems Administrator,Company K,2016
148,Good company,a great company with a good culture. good place with real opportunity,good people and a strong work environment. great place to work,the busy period can stretch. nothing serious to note,5,Current Employee,Data Analyst,Company F,2012
149,Average employer,project work covering support and service delivery,clear role and steady service work,the process is slow. too much process for a small project,3,Former Employee,Systems Administrator,Company E,2018
150,Great place to work,enjoyed the work and learned every day. a typical day was enjoyable and i learned something new,enjoyed the daily work,the hardest part was the pace,5,Current Employee,Technical Support Specialist,Company A,2018
151,Poor management,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,the pay arrived on time. decent pay at the start. good benefits while they lasted,layoffs come round every year,2,Former Employee,Systems Administrator,Company J,2019
152,Great place to work,a typical day was enjoyable and i learned something new,learned a lot from the team. enjoyed the daily work,the hardest part was the pace. some days were long,5,Former Employee,Network Engineer,Company F,2016
153,Avoid,long hours answering calls for low pay,the health cover was fine,long hours on call with a short break. long hour shifts with a short lunch,2,Former Employee,Software Engineer,Company G,2020
154,Avoid,layoffs and low pay defined my time there. the company cut people every year and the pay never changed,good benefits while they lasted. the pay arrived on time,no pay raise while costs climbed. job security disappeared after the change,2,Current Employee,Senior Consultant,Company I,2020
155,Good and bad,supported the project team and delivered the service. provided customer support on the service product,clear process and a supportive project team. good project structure,too much process for a small project. the process is slow,3,Former Employee,Data Analyst,Company J,2018
156,Good culture,managed the process and the product for the customer team. provided customer support on the service product,good project structure. clear process and a supportive project team. clear role and steady service work,too much process for a small project. the process is slow,4,Current Employee,Business Analyst,Company B,2019
157,Would recommend,supported the project team and delivered the service,clear role and steady service work. good project structure,too much process for a small project. the process is slow,4,Former Employee,Systems Administrator,Company C,2016
158,Not what was promised,the supervisor and upper management were the problem,a few good supervisors. one decent team lead,no support from management. upper management expects too much,1,Former Employee,Network Engineer,Company F,2019
159,Depends on the team,provided customer support on the service product. project work covering support and service delivery,clear role and steady service work,too much process for a small project,3,Current Employee,Technical Support Specialist,Company F,2015
160,Good culture,a great company with a good culture. the work environment is good and the people are great,great place to work. good people and a strong work environment,large place so things move slowly. the busy period can stretch,5,Former Employee,Business Analyst,Company I,2019
161,Enjoyed my time,the work environment is good and the people are great,great opportunity to learn,the busy period can stretch,5,Current Employee,Team Lead,Company K,2013
162,Poor management,"poor management, high stress and no team support. management expects a lot and gives little support",one decent team lead. a few good supervisors,management lacks the skill. upper management expects too much,2,Current Employee,Team Lead,Company E,2019
163,Solid employer,enjoyed the work and learned every day,enjoyable typical day. learned a lot from the team. enjoyed the daily work,some days were long,5,Current Employee,Systems Administrator,Company F,2020
164,Poor management,the company cut people every year and the pay never changed,decent pay at the start. the pay arrived on time,no pay raise while costs climbed,2,Former Employee,Team Lead,Company K,2012
165,Good company,the work environment is good and the people are great,great benefits and a good place,little to complain about,5,Former Employee,Network Engineer,Company A,2019
166,Enjoyed my time,enjoyed the work and learned every day,learned a lot from the team. the people made the day enjoyable,the hardest part was the pace,4,Current Employee,Customer Service Representative,Company J,2013
167,Solid employer,the culture and the technology gave me a career path,strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,5,Current Employee,Senior Consultant,Company A,2020
168,Solid employer,a great company with a good culture,good people and a strong work environment. good work environment,nothing serious to note,4,Former Employee,Systems Administrator,Company G,2019
169,Not what was promised,the company cut people every year and the pay never changed. layoffs and low pay defined my time there,decent pay at the start. good benefits while they lasted. the pay arrived on time,low pay for the hours asked. low pay and no raise for years,2,Current Employee,Senior Consultant,Company C,2016
170,Enjoyed my time,good place with real opportunity,lots of opportunity to grow. great benefits and a good place. good work environment,little to complain about. nothing serious to note,4,Former Employee,Business Analyst,Company D,2015
171,Good culture,good place with real opportunity,good people and a strong work environment. great place to work. great culture and great people,nothing serious to note,5,Former Employee,Systems Administrator,Company A,2016
172,Great place to work,the culture and the technology gave me a career path. good career opportunities across a strong organisation,good technology and interesting clients. a supportive organisation. strong culture and real career opportunities,a large organisation moves slowly. career progress can be slow,4,Current Employee,Network Engineer,Company A,2016
173,Good company,a great company with a good culture,great opportunity to learn,the busy period can stretch. nothing serious to note,4,Current Employee,Technical Support Specialist,Company C,2016
174,Poor management,handled calls all day with a short break,you learn the systems quickly,long hour shifts with a short lunch,2,Current Employee,Technical Support Specialist,Company F,2019
